,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1099,600638,新黄浦,0.14,-1.98,,2.21,,8075.56,-2.0,,08-27
1100,300381,溢多利,0.27,7.1,13.51,2.44,-0.65,3230.85,26.9,10派1转20,08-27
1101,002058,威尔泰,-0.02,-66.67,,-1.18,,-213.23,-67.06,,08-27
1102,601717,郑煤机,0.03,-25.0,,0.44,,4221.77,-28.26,,08-27
1103,603789,星光农机,0.18,-47.97,,3.47,,3646.46,-37.56,,08-27
1104,600377,宁沪高速,0.31,-9.68,,7.34,,155981.93,-9.66,,08-27
1105,000678,襄阳轴承,-0.01,-78.57,,-0.24,,-233.67,-80.28,,08-27
1106,600759,洲际油气,0.01,-8.64,,0.32,,1672.7,19.19,,08-27
1107,300154,瑞凌股份,0.1,-56.52,3.37,3.0,0.15,4638.93,-10.69,,08-27
1108,002459,天业通联,0.01,-118.0,,0.29,,350.1,-117.9,,08-27
1109,600099,林海股份,0.01,-6.06,,0.29,,135.1,-6.98,,08-27
1110,600491,龙元建设,0.1,5.72,,2.76,,13064.62,40.81,,08-27
1111,002805,丰元股份,0.2,-23.08,,3.5,,1454.99,-22.89,,08-27
1112,603100,川仪股份,0.16,-15.79,,3.51,,6380.69,-13.06,,08-27
1113,000813,德展健康,-0.05,-495.0,,-2.1,,-2213.89,-496.28,,08-27
1114,300267,尔康制药,0.26,-16.13,2.25,11.9,0.05,52706.37,84.98,,08-27
1115,002202,金风科技,0.53,14.69,,8.29,,145011.58,16.43,,08-27
1116,000407,胜利股份,0.02,4.07,,0.92,,1846.81,7.72,,08-27
1117,600990,四创电子,0.06,-29.78,,0.82,,838.35,-29.73,,08-27
1118,300352,北信源,0.03,-33.2,1.64,2.02,-0.09,1713.17,25.3,,08-27
1119,000981,银亿股份,0.1,-68.75,,4.99,,26176.96,-3.56,,08-27
1120,002304,洋河股份,2.27,7.58,,14.15,,342380.51,7.5,,08-27
1121,600662,强生控股,0.09,4.34,,2.91,,9371.41,4.25,,08-27
1122,300063,天龙集团,0.23,3043.24,7.35,3.24,0.35,6759.84,4473.88,,08-27
1123,300386,飞天诚信,0.07,-88.89,3.54,1.91,-0.31,2883.32,-51.89,,08-27
1124,300402,宝色股份,-0.29,-2960.0,3.15,-8.65,-0.2,-5776.77,-2950.86,,08-27
1125,300111,向日葵,0.05,2400.0,1.18,4.2,0.15,5428.33,2633.14,,08-27
1126,601633,长城汽车,0.54,-65.19,,12.15,,492560.15,4.42,,08-27
1127,603699,纽威股份,0.19,-38.71,,5.6,,14020.45,-40.09,,08-27
1128,603885,吉祥航空,0.61,-39.6,,16.61,,71020.72,37.18,,08-27
